fixing_commit,introducing_commit,cve_id,subsystem,fixing_date,introducing_date,fix_subject,files_changed,insertions,deletions
d37cd54ebeac,56f529ce4370,,drivers,2025-12-29 12:55:50 +0200,2025-02-07 13:57:03 +0200,platform/x86: samsung-galaxybook: Fix problematic pointer cast,drivers/platform/x86/samsung-galaxybook.c,6,3
acf44a2361b8,1f5556ec8b9e,,drivers,2025-12-28 12:42:46 -0700,2025-12-01 09:45:48 +0100,vfio/xe: Fix use-after-free in xe_vfio_pci_alloc_file(),drivers/vfio/pci/xe/main.c,3,1
665077d78dc7,2e7c6feb4ef5,,drivers,2025-12-28 12:33:40 -0700,2023-12-04 14:33:21 -0700,vfio/pds: Fix memory leak in pds_vfio_dirty_enable(),drivers/vfio/pci/pds/dirty.c,5,2
c9894e6f0160,a69040ed57f5,,other,2025-12-28 06:11:26 -1000,2025-11-12 06:43:44 -1000,tools/sched_ext: update scx_show_state.py for scx_aborting change,tools/sched_ext/scx_show_state.py,1,2
f92ff79ba264,48e126777386,,other,2025-12-28 06:11:13 -1000,2025-04-29 08:40:10 -1000,tools/sched_ext: fix scx_show_state.py for scx_root change,tools/sched_ext/scx_show_state.py,5,2
4d1442979e4a,df30285b3670,,networking,2025-12-28 16:11:22 +0100,2025-07-08 18:05:25 -0700,af_unix: don't post cmsg for SO_INQ unless explicitly asked for,net/unix/af_unix.c,8,3
3387a7ad478b,9bf66036d686,,drivers,2025-12-28 10:34:00 +0100,2025-12-01 13:53:53 -0800,net: mana: Fix use-after-free in reset service rescan path,drivers/net/ethernet/microsoft/mana/gdma_main.c,0,0
c04de0c79534,b2e9821cff6c,,networking,2025-12-28 10:19:11 +0100,2025-11-25 16:10:32 +0100,net: avoid prefetching NULL pointers,net/core/dev.c,5,3
f79f9b7ace17,efa5356b0d97,,networking,2025-12-28 10:17:14 +0100,2017-02-03 15:21:22 -0500,net: bridge: Describe @tunnel_hash member in net_bridge_vlan_group struct,net/bridge/br_private.h,0,0
1ab526d97a57,3e3b5dfcd16a,,networking,2025-12-28 09:15:42 +0100,2021-11-17 20:17:05 -0800,net: nfc: fix deadlock between nfc_unregister_device and rfkill_fop_write,net/nfc/core.c,7,2
a1e077a3f76e,7e88b11a862a,,drivers,2025-12-28 09:05:12 +0100,2021-06-07 13:23:02 -0700,net: usb: asix: validate PHY address before use,drivers/net/usb/asix_common.c;drivers/net/usb/ax88172a.c,6,5
a4f800c4487d,24e31e474769,,drivers,2025-12-28 08:55:48 +0100,2025-04-15 11:00:37 +0200,net: mdio: rtl9300: use scoped for loops,drivers/net/mdio/mdio-realtek-rtl9300.c,2,4
1f4ea4838b13,3764e82e5150,,other,2025-12-27 20:48:01 +0100,2014-02-28 15:36:37 -0800,mcb: Add missing modpost build support,scripts/mod/devicetable-offsets.c;scripts/mod/file2alias.c,12,0
b08fc4d0ec24,e7e2941300d2,,other,2025-12-27 20:48:01 +0100,2024-09-09 23:42:13 +0900,kbuild: fix compilation of dtb specified on command-line without make rule,scripts/Makefile.build,14,12
07fe35b766a6,9362d34acf91,,other,2025-12-27 20:48:01 +0100,2025-11-08 12:18:00 +0100,"Revert ""scripts/clang-tools: Handle included .c files in gen_compile_commands""",scripts/clang-tools/gen_compile_commands.py,7,128
d42bce414d1c,1da6df85c6fb,,drivers,2025-12-27 17:17:32 +0100,2016-06-09 22:21:29 -0700,net: dsa: b53: skip multicast entries for fdb_dump(),drivers/net/dsa/b53/b53_common.c,3,0
d5dc28305143,74715c4ab0fa,,drivers,2025-12-27 16:51:19 +0100,2025-07-07 18:54:00 -0700,bng_en: update module description,drivers/net/ethernet/broadcom/Kconfig;drivers/net/ethernet/broadcom/bnge/bnge.h;drivers/net/ethernet/broadcom/bnge/bnge_core.c,6,6
c48c0fd0e196,286468210d83,,drivers,2025-12-26 22:04:03 +0900,2010-07-27 11:04:10 +0200,firewire: nosy: Fix dma_free_coherent() size,drivers/firewire/nosy.c,5,5
b14fad555302,b9445598d8c6,,io_uring,2025-12-25 07:58:33 -0700,2021-08-25 06:36:56 -0600,io_uring: fix filename leak in __io_openat_prep(),io_uring/openclose.c,0,0
1f941b2c23fd,78599c42ae3c,,filesystem,2025-12-24 21:33:12 -0500,2019-07-03 17:52:50 -0400,nfsd: Drop the client reference in client_states_open(),fs/nfsd/nfs4state.c,3,1
8f9e967830ff,e5e9b24ab8fa,,filesystem,2025-12-24 21:32:34 -0500,2025-09-21 19:24:50 -0400,nfsd: use ATTR_DELEG in nfsd4_finalize_deleg_timestamps(),fs/nfsd/nfs4state.c,0,0
8072e34e1387,e7a8ebc305f2,,filesystem,2025-12-24 21:29:24 -0500,2025-07-14 12:46:36 -0400,nfsd: fix nfsd_file reference leak in nfsd4_add_rdaccess_to_wrdeleg(),fs/nfsd/nfs4state.c,10,4
a49a2a1baa0c,20fa19027286,,filesystem,2025-12-24 21:18:46 -0500,2017-07-13 17:12:04 -0400,lockd: fix vfs_test_lock() calls,fs/lockd/svc4proc.c;fs/lockd/svclock.c;fs/lockd/svcproc.c;fs/locks.c,24,18
61ed08c2fd1d,a5baf582f4c0,,drivers,2025-12-24 21:32:57 +0100,2025-11-11 18:59:22 +0000,arm64: efi: Fix NULL pointer dereference by initializing user_ns,drivers/firmware/efi/efi.c,0,0
5688e977ed2b,17029cdd8f9d,,drivers,2025-12-24 21:32:31 +0100,2025-11-18 20:39:55 +0100,efi/libstub: gop: Fix EDID support in mixed-mode,drivers/firmware/efi/libstub/gop.c,4,4
cb6d5aa9c0f1,0f0e35790295,,filesystem,2025-12-24 11:07:15 -0600,2024-11-28 09:51:07 -0600,cifs: Fix memory and information leak in smb3_reconfigure(),fs/smb/client/fs_context.c,2,0
d8ee3cfdc89b,834e772c8db0,,drivers,2025-12-24 08:02:57 -0500,2018-12-06 14:28:38 -0500,vhost/vsock: improve RCU read sections around vhost_vsock_get(),drivers/vhost/vsock.c,11,4
60489936aced,12d821bd13d4,,drivers,2025-12-24 11:31:29 +0000,2025-11-20 16:29:17 +0000,regulator: fp9931: fix regulator node pointer,drivers/regulator/fp9931.c,3,0
88733a0b6487,d7d0e73f7de3,,gpu,2025-12-24 11:24:19 +0200,2022-05-02 02:13:00 +0300,drm/msm/dpu: Add missing NULL pointer check for pingpong interface,drivers/gpu/drm/msm/disp/dpu1/dpu_encoder_phys_wb.c,4,6
da9168d8ef1c,d7ec9366b15c,,gpu,2025-12-24 11:24:19 +0200,2025-11-14 16:59:27 +0200,"Revert ""drm/msm/dpu: Enable quad-pipe for DSC and dual-DSI case""",drivers/gpu/drm/msm/disp/dpu1/dpu_crtc.c;drivers/gpu/drm/msm/disp/dpu1/dpu_crtc.h;drivers/gpu/drm/msm/disp/dpu1/dpu_encoder.c;drivers/gpu/drm/msm/disp/dpu1/dpu_encoder_phys.h;drivers/gpu/drm/msm/disp/dpu1/dpu_hw_catalog.h;drivers/gpu/drm/msm/disp/dpu1/dpu_hw_mdss.h,33,35
35ab5123bd24,5978864e34b6,,gpu,2025-12-24 11:24:19 +0200,2025-11-14 05:58:31 +0200,"Revert ""drm/msm/dpu: support plane splitting in quad-pipe case""",drivers/gpu/drm/msm/disp/dpu1/dpu_crtc.c;drivers/gpu/drm/msm/disp/dpu1/dpu_crtc.h;drivers/gpu/drm/msm/disp/dpu1/dpu_plane.c,40,110
dc85a46928c4,2b938e3db335,,drivers,2025-12-23 14:07:08 -0700,2025-01-06 08:09:53 -0700,vfio/pci: Disable qword access to the PCI ROM bar,drivers/vfio/pci/nvgrace-gpu/main.c;drivers/vfio/pci/vfio_pci_rdwr.c;include/linux/vfio_pci_core.h,29,10
d6b5a8d6f142,5d4939fc2258,,memory,2025-12-23 11:23:17 -0800,2025-11-16 17:28:28 -0800,mm/ksm: fix pte_unmap_unlock of wrong address in break_ksm_pmd_entry,mm/ksm.c,0,0
a76a5ae2c6c6,765973a09803,,memory,2025-12-23 11:23:17 -0800,2024-02-23 17:48:17 -0800,mm/page_owner: fix memory leak in page_owner_stack_fops->release(),mm/page_owner.c,0,0
077d925b60c3,d245f9b4ab80,,memory,2025-12-23 11:23:16 -0800,2025-11-24 15:08:47 -0800,mm/memremap: fix spurious large folio warning for FS-DAX,mm/memremap.c,0,2
0c75714095e0,2783088ef24e,,memory,2025-12-23 11:23:16 -0800,2025-11-16 17:27:59 -0800,mm/page_alloc: report 1 as zone_batchsize for !CONFIG_MMU,mm/page_alloc.c,0,0
f183663901f2,86ebd50224c0,,other,2025-12-23 11:23:15 -0800,2025-05-12 23:50:46 -0700,mm: consider non-anon swap cache folios in folio_expected_ref_count(),include/linux/mm.h,4,4
6558749ef340,da939ef4c494,,other,2025-12-23 11:23:15 -0800,2025-09-21 14:22:19 -0700,rust: maple_tree: rcu_read_lock() in destructor to silence lockdep,rust/kernel/maple_tree.rs,10,1
6db12d5c474d,bc8e51c05ad5,,memory,2025-12-23 11:23:15 -0800,2025-11-20 13:43:59 -0800,mm: memcg: fix unit conversion for K() macro in OOM log,mm/memcontrol.c,2,2
e6dbcb7c0e7b,2ec41967189c,,memory,2025-12-23 11:23:15 -0800,2025-11-16 17:28:29 -0800,mm: fixup pfnmap memory failure handling to use pgoff,include/linux/memory-failure.h;mm/memory-failure.c,20,11
7013803444dd,8f9c447e2e2b,,other,2025-12-23 11:23:14 -0800,2022-03-24 19:06:44 -0700,tools/mm/page_owner_sort: fix timestamp comparison for stable sorting,tools/mm/page_owner_sort.c,5,1
632b874d59a3,f60b6634cd88,,other,2025-12-23 11:23:14 -0800,2025-05-12 23:50:45 -0700,selftests/mm: fix thread state check in uffd-unit-tests,tools/testing/selftests/mm/uffd-unit-tests.c,0,0
a3785ae5d334,07d24902977e,,kernel,2025-12-23 11:23:14 -0800,2025-08-02 12:01:38 -0700,kernel/kexec: fix IMA when allocation happens in CMA area,kernel/kexec_core.c,7,2
fe55ea85939e,07d24902977e,,kernel,2025-12-23 11:23:13 -0800,2025-08-02 12:01:38 -0700,kernel/kexec: change the prototype of kimage_map_segment(),include/linux/kexec.h;kernel/kexec_core.c;security/integrity/ima/ima_kexec.c,9,8
02129e623c18,09efc56a3b1c,,memory,2025-12-23 11:23:13 -0800,2025-11-20 13:44:01 -0800,mm/damon/vaddr: fix missing pte_unmap_unlock in damos_va_migrate_pmd_entry(),mm/damon/vaddr.c,0,0
7838a4eb8a1d,e6cf9e1c4cde,,memory,2025-12-23 11:23:12 -0800,2024-04-25 20:56:02 -0700,mm/page_alloc: change all pageblocks migrate type on coalescing,mm/page_alloc.c,12,12
6a0e5b333842,1d96320f8d53,,memory,2025-12-23 11:23:12 -0800,2022-03-24 19:06:47 -0700,kasan: unpoison vms[area] addresses with a common tag,mm/kasan/common.c,18,3
6f13db031e27,1d96320f8d53,,memory,2025-12-23 11:23:11 -0800,2022-03-24 19:06:47 -0700,kasan: refactor pcpu kasan vmalloc unpoison,include/linux/kasan.h;mm/kasan/common.c;mm/vmalloc.c,33,3
007f5da43b3d,a0309faf1cb0,,memory,2025-12-23 11:23:11 -0800,2025-05-07 23:39:41 -0700,mm/kasan: fix incorrect unpoisoning in vrealloc for KASAN,include/linux/kasan.h;mm/kasan/hw_tags.c;mm/kasan/shadow.c;mm/vmalloc.c,8,3
c6e8e595a079,6ce711f27500,,other,2025-12-23 11:23:11 -0800,2018-02-06 16:41:29 -0500,idr: fix idr_alloc() returning an ID out of range,lib/idr.c;tools/testing/radix-tree/idr-test.c,23,0
5393802c94e0,52fbf1134d47,,other,2025-12-23 11:23:10 -0800,2019-01-04 13:13:46 -0800,genalloc.h: fix htmldocs warning,include/linux/genalloc.h,0,0
2b742094582d,382b1e8f30f7,,filesystem,2025-12-23 16:14:43 +0100,2025-11-26 15:19:11 +0100,fs/kernfs: null-ptr deref in simple_xattrs_free(),fs/kernfs/dir.c,4,2
e7a9f6600166,3e082978c331,,usb,2025-12-23 15:59:01 +0100,2025-11-21 15:13:07 +0100,"Revert ""usb: typec: ucsi: Update UCSI structure to have message in and message out fields""",drivers/usb/typec/ucsi/cros_ec_ucsi.c;drivers/usb/typec/ucsi/debugfs.c;drivers/usb/typec/ucsi/displayport.c;drivers/usb/typec/ucsi/ucsi.c;drivers/usb/typec/ucsi/ucsi.h;drivers/usb/typec/ucsi/ucsi_acpi.c;drivers/usb/typec/ucsi/ucsi_ccg.c;drivers/usb/typec/ucsi/ucsi_yoga_c630.c,71,112
df3e3169303f,14ad4c10d5bd,,usb,2025-12-23 15:57:16 +0100,2025-12-17 14:54:23 +0100,"Revert ""usb: typec: ucsi: Fix null pointer dereference in ucsi_sync_control_common""",drivers/usb/typec/ucsi/ucsi.c,0,0
0dc580d4a651,5106dbab44fb,,usb,2025-12-23 15:56:04 +0100,2025-12-23 15:41:44 +0100,"Revert ""usb: typec: ucsi: Get connector status after enable notifications""",drivers/usb/typec/ucsi/ucsi.c,59,74
b4c61e542faf,73108aa90cbf,,usb,2025-12-23 15:48:46 +0100,2012-05-01 13:36:18 -0400,usb: ohci-nxp: fix device leak on probe failure,drivers/usb/host/ohci-nxp.c,2,0
b4b64fda4d30,c84117912bdd,,usb,2025-12-23 15:48:46 +0100,2025-12-17 14:53:36 +0100,usb: phy: isp1301: fix non-OF device reference imbalance,drivers/usb/phy/phy-isp1301.c,6,1
782be79e4551,c84117912bdd,,usb,2025-12-23 15:48:46 +0100,2025-12-17 14:53:36 +0100,usb: gadget: lpc32xx_udc: fix clock imbalance in error path,drivers/usb/gadget/udc/lpc32xx_udc.c,10,10
5106dbab44fb,c1b0bc2dabfa,,usb,2025-12-23 15:41:44 +0100,2017-06-27 17:55:45 +0200,usb: typec: ucsi: Get connector status after enable notifications,drivers/usb/typec/ucsi/ucsi.c,74,59
0831269b5f71,955a48a5353f,,usb,2025-12-23 15:41:31 +0100,2025-11-21 15:18:54 +0100,usb: usb-storage: Maintain minimal modifications to the bcdDevice range.,drivers/usb/storage/unusual_uas.h,0,0
6402078bd9d1,342a93247e08,,drivers,2025-12-23 15:28:34 +0100,2021-08-17 17:43:24 +0200,smc91x: fix broken irq-context in PREEMPT_RT,drivers/net/ethernet/smsc/smc91x.c,1,9
00c22b1e8428,d9a078809356,,drivers,2025-12-23 13:57:48 +0200,2025-07-03 11:09:32 +0300,platform/x86/intel/pmt: Fix kobject memory leak on init failure,drivers/platform/x86/intel/pmt/discovery.c,3,1
b94f11af9d92,a0008a3658a3,,drivers,2025-12-23 12:46:11 +0100,2025-07-09 18:39:13 -0700,net: wangxun: move PHYLINK dependency,drivers/net/ethernet/wangxun/Kconfig,1,3
472c5dd6b95c,2e64fe4624d1,,other,2025-12-23 12:30:23 +0100,2022-08-05 08:59:15 +0100,"selftests: net: fix ""buffer overflow detected"" for tap.c",tools/testing/selftests/net/tap.c,5,11
12cab1191d98,4d12997a9bb3,,drivers,2025-12-23 12:12:34 +0100,2013-05-20 13:42:05 -0700,net: usb: rtl8150: fix memory leak on usb_submit_urb() failure,drivers/net/usb/rtl8150.c,2,0
f0e5126f5e55,81236c74dba6,,other,2025-12-23 12:05:04 +0100,2025-09-30 15:17:22 +0200,selftests: drv-net: psp: fix test names in ipver_test_builder(),tools/testing/selftests/drivers/net/psp.py,2,1
d52668cac3f9,8f90dc6e417a,,other,2025-12-23 12:05:04 +0100,2025-09-30 15:17:22 +0200,selftests: drv-net: psp: fix templated test names in psp_ip_ver_test_builder(),tools/testing/selftests/drivers/net/psp.py,2,1
267ee93c417e,fccc9d9233f9,,drivers,2025-12-23 11:55:16 +0100,2024-01-27 19:07:08 -0800,serial: xilinx_uartps: fix rs485 delay_rts_after_send,drivers/tty/serial/xilinx_uartps.c,7,7
c3ca8a0aac83,7cc0e0a43a91,,drivers,2025-12-23 11:54:00 +0100,2024-12-04 16:51:25 +0100,serial: sh-sci: Check that the DMA cookie is valid,drivers/tty/serial/sh-sci.c,0,0
f54151148b96,24ec03cc5512,,drivers,2025-12-23 11:53:37 +0100,2025-12-17 15:10:46 +0100,serial: core: Fix serial device initialization,drivers/tty/serial/serial_base_bus.c,0,0
df60c332caf9,4f3b20bfbb75,,drivers,2025-12-23 10:35:15 +0100,2023-02-02 15:17:19 +0100,amd-xgbe: reset retries and mode on RX adapt failures,drivers/net/ethernet/amd/xgbe/xgbe-phy-v2.c,2,0
a9f96dc59b4a,acc43b7bf52a,,networking,2025-12-23 10:32:08 +0100,2022-09-20 10:32:36 +0200,net: dsa: fix missing put_device() in dsa_tree_find_first_conduit(),net/dsa/dsa.c,1,7
06e219f6a706,83c0afaec7b7,,networking,2025-12-23 10:32:08 +0100,2016-06-04 14:29:55 -0700,net: dsa: properly keep track of conduit reference,include/net/dsa.h;net/dsa/dsa.c,35,25
5e7365b5a1ac,9cd451d414f6,,drivers,2025-12-23 09:30:15 +0100,2025-03-04 13:22:10 +0100,net: airoha: Move net_devs registration in a dedicated routine,drivers/net/ethernet/airoha/airoha_eth.c,26,13
35ddf66c65ef,bb5e62f2d547,,networking,2025-12-23 09:21:00 +0100,2025-02-20 13:17:16 -0800,erspan: Initialize options_len before referencing options.,net/ipv4/ip_gre.c;net/ipv6/ip6_gre.c,8,4
86730ac255b0,ae155060247b,,networking,2025-12-23 09:12:25 +0100,2025-11-19 20:07:15 -0800,mptcp: ensure context reset on disconnect(),net/mptcp/protocol.c;net/mptcp/protocol.h,7,4
71154bbe4942,23e89e8ee7be,,networking,2025-12-23 09:12:25 +0100,2024-07-13 15:19:49 -0700,mptcp: fallback earlier on simult connection,net/mptcp/options.c;net/mptcp/protocol.h;net/mptcp/subflow.c,12,10
932ac51d9953,6c31ff366c11,,drivers,2025-12-23 09:07:48 +0100,2013-06-12 03:05:53 -0700,team: fix check for port enabled in team_queue_override_port_prio_changed(),drivers/net/team/team_core.c,0,0
15dd100349b8,35f0ce032b0f,,drivers,2025-12-22 16:19:19 +0200,2010-10-21 10:10:46 -0400,platform/x86: ibm_rtl: fix EBDA signature search pointer arithmetic,drivers/platform/x86/ibm_rtl.c,0,0
1461209cf813,03696e51d75a,,drivers,2025-12-22 16:17:49 +0200,2013-02-24 14:49:53 -0800,platform/x86: msi-laptop: add missing sysfs_remove_group(),drivers/platform/x86/msi-laptop.c,3,0
f13bce715d16,423c3361855c,,drivers,2025-12-22 16:09:29 +0200,2023-09-13 13:42:29 +0200,platform/mellanox: mlxbf-pmc: Remove trailing whitespaces from event names,drivers/platform/mellanox/mlxbf-pmc.c,7,7
608328ba5b06,2997876c4a1a,,arch,2025-12-22 18:25:07 +0530,2025-11-11 14:13:37 +0530,powerpc/32: Restore disabling of interrupts at interrupt/syscall exit,arch/powerpc/include/asm/hw_irq.h;arch/powerpc/include/asm/reg.h;arch/powerpc/kernel/entry_32.S;arch/powerpc/kernel/interrupt.c,6,17
87e7f6019097,d7cdbbc93c56,,other,2025-12-22 13:32:22 +0100,2025-11-20 16:51:48 +0100,software node: Also support referencing non-constant software nodes,include/linux/property.h,0,0
b94b73567561,0ebc7feae79a,,arch,2025-12-22 17:59:07 +0530,2023-10-01 23:09:02 +1100,powerpc: Add reloc_offset() to font bitmap pointer used for bootx_printf(),arch/powerpc/kernel/btext.c,2,1
f1164534ad62,0f71dcfb4aef,,arch,2025-12-22 17:56:34 +0530,2023-08-22 00:09:06 +1000,powerpc/tools: drop `-o pipefail` in gcc check scripts,arch/powerpc/tools/gcc-check-fpatchable-function-entry.sh;arch/powerpc/tools/gcc-check-mprofile-kernel.sh,0,2
c2296a1e4241,38253464bc82,,arch,2025-12-22 17:53:37 +0530,2023-07-28 09:53:37 +0200,powerpc/kexec: Enable SMT before waking offline CPUs,arch/powerpc/kexec/core_64.c,19,0
dabac51b8102,fe67b063f687,,networking,2025-12-22 12:36:40 +0100,2025-11-28 12:42:34 +0100,net/handshake: Fix null-ptr-deref in handshake_complete(),net/handshake/netlink.c,2,1
db5b4e39c4e6,c12b395a4664,,networking,2025-12-22 12:32:25 +0100,2012-08-14 14:28:32 -0700,ip6_gre: make ip6gre_header() robust,net/ipv6/ip6_gre.c,8,1
549822767630,b07c26511e94,,networking,2025-12-22 12:25:11 +0100,2013-10-16 14:50:22 -0700,net: openvswitch: Avoid needlessly taking the RTNL on vport destroy,net/openvswitch/vport-netdev.c,13,4
1e5a541420b8,98c485eaf509,,drivers,2025-12-22 12:18:54 +0100,2023-06-12 11:55:04 +0100,net: phy: mediatek: fix nvmem cell reference leak in mt798x_phy_calibration,drivers/net/phy/mediatek/mtk-ge-soc.c,0,0
15ef641a0c67,8cdc3f6c5d22,,drivers,2025-12-22 12:11:32 +0100,2015-08-24 14:06:33 -0700,fjes: Add missing iounmap in fjes_hw_init(),drivers/net/fjes/fjes_hw.c,9,3
d1a1a4bade4b,f160e99462c6,,drivers,2025-12-22 12:06:18 +0100,2019-08-02 17:56:28 -0700,net: mdio: aspeed: add dummy read to avoid read-after-write issue,drivers/net/mdio/mdio-aspeed.c,7,0
3b9c30eb8f5a,83bfbd0bb902,,filesystem,2025-12-21 19:20:46 -0600,2025-12-05 17:09:32 -0600,smb/server: fix minimum SMB1 PDU size,fs/smb/server/connection.c,3,2
0a70cac78967,83bfbd0bb902,,filesystem,2025-12-21 19:20:46 -0600,2025-12-05 17:09:32 -0600,ksmbd: Fix to handle removal of rfc1002 header from smb_hdr,fs/smb/server/server.c;fs/smb/server/smb_common.c,11,11
4012d7856219,2349d2fa02db,,filesystem,2025-12-22 00:18:53 +0800,2024-09-12 20:26:43 +0800,erofs: fix unexpected EIO under memory pressure,fs/erofs/zdata.c,4,4
17753d1755a5,a30fa8122222,,sound,2025-12-21 11:19:31 +0100,2025-12-02 08:06:49 +0100,ALSA: hda/realtek: fix PCI SSID for one of the HP 200 G2i laptop,sound/hda/codecs/realtek/alc269.c,0,0
1ddb815fdfd4,c9b5645fd8ca,,drivers,2025-12-20 12:56:48 -0700,2025-12-18 08:10:28 -0700,block: rnbd-clt: Fix signedness bug in init_dev(),drivers/block/rnbd/rnbd-clt.h,0,0
daa24603d9f0,e63d2228ef83,,drivers,2025-12-20 12:56:37 -0700,2025-04-16 19:33:21 -0600,ublk: clean up user copy references on ublk server exit,drivers/block/ublk_drv.c,1,2
d2b6e710d270,91389b4e3263,,gpu,2025-12-19 16:47:51 -0800,2024-10-03 13:21:52 -0700,drm/msm: Fix a7xx per pipe register programming,drivers/gpu/drm/msm/adreno/a6xx_catalog.c;drivers/gpu/drm/msm/adreno/a6xx_gpu.c;drivers/gpu/drm/msm/adreno/a6xx_gpu.h;drivers/gpu/drm/msm/adreno/adreno_gpu.h,55,5
6c6915bfea21,a6a0157cc68e,,gpu,2025-12-19 16:45:58 -0800,2025-09-08 07:25:00 -0700,drm/msm: add PERFCTR_CNTL to ifpc_reglist,drivers/gpu/drm/msm/adreno/a6xx_catalog.c,0,0
ef3b04091fd8,50117cad0c50,,gpu,2025-12-19 16:44:06 -0800,2024-10-03 13:21:52 -0700,drm/msm/a6xx: move preempt_prepare_postamble after error check,drivers/gpu/drm/msm/adreno/a6xx_preempt.c,2,2
129049d4fe22,a6a0157cc68e,,gpu,2025-12-19 16:32:12 -0800,2025-09-08 07:25:00 -0700,drm/msm: adreno: fix deferencing ifpc_reglist when not declared,drivers/gpu/drm/msm/adreno/a6xx_gpu.c,10,8
252714f1e8bd,98921dbd00c4,,drivers,2025-12-19 17:23:18 -0500,2012-08-06 15:03:02 -0300,Bluetooth: btusb: revert use of devm_kzalloc in btusb,drivers/bluetooth/btusb.c,9,3
348240e5fa90,ae7533613133,,networking,2025-12-19 17:11:27 -0500,2023-08-11 11:31:23 -0700,Bluetooth: MGMT: report BIS capability flags in supported settings,net/bluetooth/mgmt.c,6,0
b3db91c3bfea,cbc29538dbf7,,drivers,2025-12-19 08:44:22 -0800,2024-02-25 12:37:10 -0800,hwmon: (ltc4282): Fix reset_history file permissions,drivers/hwmon/ltc4282.c,6,3
d412ff9e26eb,833d2b3a072f,,filesystem,2025-12-19 16:43:40 +0100,2025-11-14 13:15:58 +0100,debugfs: Fix memleak in debugfs_change_name().,fs/debugfs/inode.c,5,2
